frame,condition,region,pixel_frac,mean_w,min_w,frac_w_lt_0p99,frac_w_lt_0p95,frac_w_lt_0p90,mean_abs_st_minus_mono
0038:0048,snow,valid,1.0,0.9992884993553162,0.9958234429359436,0.0,0.0,0.0,5.719635486602783
0038:0048,snow,sky,0.4705931712962963,0.9989392161369324,0.9958234429359436,0.0,0.0,0.0,3.1258206367492676
0038:0048,snow,nonsky,0.5294068287037037,0.9995988607406616,0.9969677329063416,0.0,0.0,0.0,8.02529525756836
0038:0048,snow,textureless,0.002400655864197531,0.9993594884872437,0.9977167248725891,0.0,0.0,0.0,2.8793342113494873
0038:0048,snow,textured,0.9975993441358024,0.9992882609367371,0.9958234429359436,0.0,0.0,0.0,5.726473331451416
0038:0072,clean,all,1.0,0.999629557132721,0.9948716759681702,0.0,0.0,0.0,7.423672676086426
0038:0072,clean,valid,1.0,0.999629557132721,0.9948716759681702,0.0,0.0,0.0,7.423672676086426
0038:0072,clean,sky,0.5145336612654321,0.9994825124740601,0.9948716759681702,0.0,0.0,0.0,2.3806283473968506
0038:0072,clean,nonsky,0.4854663387345679,0.999785840511322,0.9951308369636536,0.0,0.0,0.0,12.768671035766602
0038:0072,clean,textureless,0.2218330439814815,0.9992736577987671,0.9958630800247192,0.0,0.0,0.0,1.8907709121704102
0038:0072,clean,textured,0.7781669560185185,0.999731183052063,0.9948716759681702,0.0,0.0,0.0,9.000946998596191
0038:0072,fog,all,1.0,0.9987387657165527,0.9932586550712585,0.0,0.0,0.0,15.801570892333984
0038:0072,fog,valid,1.0,0.9987387657165527,0.9932586550712585,0.0,0.0,0.0,15.801570892333984
0038:0072,fog,sky,0.5145336612654321,0.9981021881103516,0.9932586550712585,0.0,0.0,0.0,23.786420822143555
0038:0072,fog,nonsky,0.4854663387345679,0.9994134306907654,0.9933243989944458,0.0,0.0,0.0,7.338643550872803
0038:0072,fog,textureless,0.7005068479938271,0.9983488917350769,0.9932586550712585,0.0,0.0,0.0,18.235862731933594
0038:0072,fog,textured,0.2994931520061728,0.9996497631072998,0.9940872192382812,0.0,0.0,0.0,10.10782241821289
0038:0072,frost,all,1.0,0.9993376135826111,0.996734082698822,0.0,0.0,0.0,5.384087562561035
0038:0072,frost,valid,1.0,0.9993376135826111,0.996734082698822,0.0,0.0,0.0,5.384087562561035
0038:0072,frost,sky,0.5145336612654321,0.9991765022277832,0.9967544078826904,0.0,0.0,0.0,3.301565408706665
0038:0072,frost,nonsky,0.4854663387345679,0.9995077848434448,0.996734082698822,0.0,0.0,0.0,7.591300010681152
0038:0072,frost,textureless,0.00038773148148148147,0.9989799857139587,0.9973406791687012,0.0,0.0,0.0,1.81485915184021
0038:0072,frost,textured,0.9996122685185185,0.9993377327919006,0.996734082698822,0.0,0.0,0.0,5.385473251342773
0038:0072,snow,all,1.0,0.9991570115089417,0.9963908195495605,0.0,0.0,0.0,5.486354351043701
0038:0072,snow,valid,1.0,0.9991570115089417,0.9963908195495605,0.0,0.0,0.0,5.486354351043701
0038:0072,snow,sky,0.5145336612654321,0.9988086223602295,0.9963908195495605,0.0,0.0,0.0,2.346646308898926
0038:0072,snow,nonsky,0.4854663387345679,0.9995275735855103,0.9966991543769836,0.0,0.0,0.0,8.814053535461426
0038:0072,snow,textureless,0.0035300925925925925,0.9991340637207031,0.9974741339683533,0.0,0.0,0.0,2.2990779876708984
0038:0072,snow,textured,0.9964699074074074,0.9991576671600342,0.9963908195495605,0.0,0.0,0.0,5.497645854949951
0038:0096,clean,all,1.0,0.9994625449180603,0.9951660633087158,0.0,0.0,0.0,7.14908504486084
0038:0096,clean,valid,1.0,0.9994625449180603,0.9951660633087158,0.0,0.0,0.0,7.14908504486084
0038:0096,clean,sky,0.6210913387345679,0.9992647767066956,0.9951660633087158,0.0,0.0,0.0,1.9675567150115967
0038:0096,clean,nonsky,0.3789086612654321,0.9997872710227966,0.9952297210693359,0.0,0.0,0.0,15.642424583435059
0038:0096,clean,textureless,0.33101176697530865,0.9989452958106995,0.9953778982162476,0.0,0.0,0.0,1.2359174489974976
0038:0096,clean,textured,0.6689882330246913,0.9997187852859497,0.9951660633087158,0.0,0.0,0.0,10.074888229370117
0038:0096,fog,all,1.0,0.9990009069442749,0.993484616279602,0.0,0.0,0.0,6.986584186553955
0038:0096,fog,valid,1.0,0.9990009069442749,0.993484616279602,0.0,0.0,0.0,6.986584186553955
0038:0096,fog,sky,0.6210913387345679,0.9986039400100708,0.993484616279602,0.0,0.0,0.0,6.608343124389648
0038:0096,fog,nonsky,0.3789086612654321,0.9996518492698669,0.994800865650177,0.0,0.0,0.0,7.60658073425293
0038:0096,fog,textureless,0.5416671489197531,0.9986981153488159,0.9936364889144897,0.0,0.0,0.0,7.7613348960876465
0038:0096,fog,textured,0.4583328510802469,0.9993585348129272,0.993484616279602,0.0,0.0,0.0,6.070965766906738
0038:0096,frost,all,1.0,0.9995095729827881,0.9966792464256287,0.0,0.0,0.0,9.863700866699219
0038:0096,frost,valid,1.0,0.9995095729827881,0.9966792464256287,0.0,0.0,0.0,9.863700866699219
0038:0096,frost,sky,0.6210913387345679,0.9993378520011902,0.9966792464256287,0.0,0.0,0.0,6.1727471351623535
0038:0096,frost,nonsky,0.3789086612654321,0.9997918009757996,0.997336745262146,0.0,0.0,0.0,15.913747787475586
0038:0096,frost,textureless,0.1952170138888889,0.999169647693634,0.9968255162239075,0.0,0.0,0.0,4.235625743865967
0038:0096,frost,textured,0.8047829861111111,0.9995923638343811,0.9966792464256287,0.0,0.0,0.0,11.228900909423828
0038:0096,snow,all,1.0,0.9989824891090393,0.9963233470916748,0.0,0.0,0.0,4.4032511711120605
0038:0096,snow,valid,1.0,0.9989824891090393,0.9963233470916748,0.0,0.0,0.0,4.4032511711120605
0038:0096,snow,sky,0.6210913387345679,0.9986969232559204,0.9963233470916748,0.0,0.0,0.0,2.0272109508514404
0038:0096,snow,nonsky,0.3789086612654321,0.9994505047798157,0.9968354105949402,0.0,0.0,0.0,8.297957420349121
0038:0096,snow,textureless,0.003977141203703704,0.9988376498222351,0.9968196153640747,0.0,0.0,0.0,1.7587826251983643
