model,frame,condition,prediction,region,abs_err_vs_gt,n
Full,0038:0120,fog,stereo_only,sky,18.746170043945312,1485552
Full,0038:0120,fog,stereo_only,nonsky,0.3403328061103821,588048
Full,0038:0120,fog,stereo_only,textureless,21.454986572265625,1296214
Full,0038:0120,fog,stereo_only,textured,0.30653855204582214,777386
Full,0038:0120,fog,mono_only,valid,4.76759147644043,2073600
Full,0038:0120,fog,mono_only,sky,3.0148732662200928,1485552
Full,0038:0120,fog,mono_only,nonsky,9.195387840270996,588048
Full,0038:0120,fog,mono_only,textureless,3.59220814704895,1296214
Full,0038:0120,fog,mono_only,textured,6.727424144744873,777386
E0,0038:0120,frost,fused,valid,17.063756942749023,2073600
E0,0038:0120,frost,fused,sky,23.66261100769043,1485552
E0,0038:0120,frost,fused,nonsky,0.393490195274353,588048
E0,0038:0120,frost,fused,textureless,56.572776794433594,395261
E0,0038:0120,frost,fused,textured,7.759109020233154,1678339
Full,0038:0120,frost,fused,valid,2.0286338329315186,2073600
Full,0038:0120,frost,fused,sky,2.68381404876709,1485552
Full,0038:0120,frost,fused,nonsky,0.373491495847702,588048
Full,0038:0120,frost,fused,textureless,5.4398698806762695,395261
Full,0038:0120,frost,fused,textured,1.2252633571624756,1678339
Full,0038:0120,frost,stereo_only,valid,2.0277109146118164,2073600
Full,0038:0120,frost,stereo_only,sky,2.682382822036743,1485552
Full,0038:0120,frost,stereo_only,nonsky,0.37385040521621704,588048
Full,0038:0120,frost,stereo_only,textureless,5.439096450805664,395261
Full,0038:0120,frost,stereo_only,textured,1.2243043184280396,1678339
Full,0038:0120,frost,mono_only,valid,12.615730285644531,2073600
Full,0038:0120,frost,mono_only,sky,9.55994701385498,1485552
Full,0038:0120,frost,mono_only,nonsky,20.335372924804688,588048
Full,0038:0120,frost,mono_only,textureless,7.781644344329834,395261
Full,0038:0120,frost,mono_only,textured,13.754190444946289,1678339
E0,0038:0120,snow,fused,valid,11.729697227478027,2073600
E0,0038:0120,snow,fused,sky,16.196937561035156,1485552
E0,0038:0120,snow,fused,nonsky,0.4444073736667633,588048
E0,0038:0120,snow,fused,textureless,21.190492630004883,10455
E0,0038:0120,snow,fused,textured,11.681766510009766,2063145
Full,0038:0120,snow,fused,valid,2.6630659103393555,2073600
Full,0038:0120,snow,fused,sky,3.561596393585205,1485552
Full,0038:0120,snow,fused,nonsky,0.393163800239563,588048
Full,0038:0120,snow,fused,textureless,2.5122592449188232,10455
Full,0038:0120,snow,fused,textured,2.663831949234009,2063145
Full,0038:0120,snow,stereo_only,valid,2.6624345779418945,2073600
Full,0038:0120,snow,stereo_only,sky,3.560702323913574,1485552
Full,0038:0120,snow,stereo_only,nonsky,0.39319583773612976,588048
Full,0038:0120,snow,stereo_only,textureless,2.5121753215789795,10455
Full,0038:0120,snow,stereo_only,textured,2.663196563720703,2063145
Full,0038:0120,snow,mono_only,valid,5.562243938446045,2073600
Full,0038:0120,snow,mono_only,sky,3.613105535507202,1485552
Full,0038:0120,snow,mono_only,nonsky,10.486241340637207,588048
Full,0038:0120,snow,mono_only,textureless,2.192211151123047,10455
Full,0038:0120,snow,mono_only,textured,5.579320907592773,2063145
E0,0038:0144,clean,fused,valid,0.3311450481414795,2073600
E0,0038:0144,clean,fused,sky,0.3870413601398468,1575216
E0,0038:0144,clean,fused,nonsky,0.1544763743877411,498384
E0,0038:0144,clean,fused,textureless,0.12771189212799072,1010037
E0,0038:0144,clean,fused,textured,0.524340033531189,1063563
Full,0038:0144,clean,fused,valid,0.33174511790275574,2073600
Full,0038:0144,clean,fused,sky,0.38803860545158386,1575216
Full,0038:0144,clean,fused,nonsky,0.15382175147533417,498384
Full,0038:0144,clean,fused,textureless,0.1226353868842125,1010037
Full,0038:0144,clean,fused,textured,0.5303310751914978,1063563
Full,0038:0144,clean,stereo_only,valid,0.33172017335891724,2073600
Full,0038:0144,clean,stereo_only,sky,0.38798001408576965,1575216
Full,0038:0144,clean,stereo_only,nonsky,0.15390197932720184,498384
Full,0038:0144,clean,stereo_only,textureless,0.12261972576379776,1010037
Full,0038:0144,clean,stereo_only,textured,0.5302969813346863,1063563
Full,0038:0144,clean,mono_only,valid,5.716488361358643,2073600
Full,0038:0144,clean,mono_only,sky,1.264053225517273,1575216
Full,0038:0144,clean,mono_only,nonsky,19.789072036743164,498384
Full,0038:0144,clean,mono_only,textureless,0.2932024598121643,1010037
Full,0038:0144,clean,mono_only,textured,10.866837501525879,1063563
E0,0038:0144,fog,fused,valid,18.36358070373535,2073600
E0,0038:0144,fog,fused,sky,24.104969024658203,1575216
E0,0038:0144,fog,fused,nonsky,0.2171270102262497,498384
E0,0038:0144,fog,fused,textureless,27.088342666625977,1398921
E0,0038:0144,fog,fused,textured,0.2731511890888214,674679
Full,0038:0144,fog,fused,valid,8.785621643066406,2073600
Full,0038:0144,fog,fused,sky,11.488030433654785,1575216
Full,0038:0144,fog,fused,nonsky,0.2442391961812973,498384
Full,0038:0144,fog,fused,textureless,12.909592628479004,1398921
Full,0038:0144,fog,fused,textured,0.23475082218647003,674679
Full,0038:0144,fog,stereo_only,valid,8.785215377807617,2073600
Full,0038:0144,fog,stereo_only,sky,11.487506866455078,1575216
Full,0038:0144,fog,stereo_only,nonsky,0.24423561990261078,498384
Full,0038:0144,fog,stereo_only,textureless,12.909019470214844,1398921
Full,0038:0144,fog,stereo_only,textured,0.23466676473617554,674679
Full,0038:0144,fog,mono_only,valid,3.29125714302063,2073600
Full,0038:0144,fog,mono_only,sky,1.6376279592514038,1575216
Full,0038:0144,fog,mono_only,nonsky,8.517799377441406,498384
Full,0038:0144,fog,mono_only,textureless,1.9375721216201782,1398921
Full,0038:0144,fog,mono_only,textured,6.098072528839111,674679
E0,0038:0144,frost,fused,valid,31.664031982421875,2073600
E0,0038:0144,frost,fused,sky,41.597412109375,1575216
E0,0038:0144,frost,fused,nonsky,0.2681177258491516,498384
E0,0038:0144,frost,fused,textureless,32.256954193115234,2472
E0,0038:0144,frost,fused,textured,31.663330078125,2071128
Full,0038:0144,frost,fused,valid,6.04118013381958,2073600
Full,0038:0144,frost,fused,sky,7.875010013580322,1575216
Full,0038:0144,frost,fused,nonsky,0.24510592222213745,498384
Full,0038:0144,frost,fused,textureless,5.447421073913574,2472
Full,0038:0144,frost,fused,textured,6.041888236999512,2071128
Full,0038:0144,frost,stereo_only,valid,6.039086818695068,2073600
Full,0038:0144,frost,stereo_only,sky,7.872097015380859,1575216
Full,0038:0144,frost,stereo_only,nonsky,0.24560369551181793,498384
Full,0038:0144,frost,stereo_only,textureless,5.445903778076172,2472
Full,0038:0144,frost,stereo_only,textured,6.039795398712158,2071128
Full,0038:0144,frost,mono_only,valid,11.704617500305176,2073600
Full,0038:0144,frost,mono_only,sky,9.537392616271973,1575216
Full,0038:0144,frost,mono_only,nonsky,18.554458618164062,498384
Full,0038:0144,frost,mono_only,textureless,4.1965789794921875,2472
Full,0038:0144,frost,mono_only,textured,11.713582038879395,2071128
E0,0038:0144,snow,fused,valid,9.49328327178955,2073600
E0,0038:0144,snow,fused,sky,12.400700569152832,1575216
E0,0038:0144,snow,fused,nonsky,0.3039548993110657,498384
E0,0038:0144,snow,fused,textureless,15.083341598510742,10259
E0,0038:0144,snow,fused,textured,9.465490341186523,2063341
Full,0038:0144,snow,fused,valid,2.9398858547210693,2073600
Full,0038:0144,snow,fused,sky,3.794304132461548,1575216
Full,0038:0144,snow,fused,nonsky,0.23936474323272705,498384
Full,0038:0144,snow,fused,textureless,3.80645489692688,10259
Full,0038:0144,snow,fused,textured,2.9355781078338623,2063341
Full,0038:0144,snow,stereo_only,valid,2.939554214477539,2073600
Full,0038:0144,snow,stereo_only,sky,3.793936252593994,1575216
Full,0038:0144,snow,stereo_only,nonsky,0.23914940655231476,498384
Full,0038:0144,snow,stereo_only,textureless,3.8063056468963623,10259
Full,0038:0144,snow,stereo_only,textured,2.9352450370788574,2063341
Full,0038:0144,snow,mono_only,valid,3.899232864379883,2073600
Full,0038:0144,snow,mono_only,sky,2.3301992416381836,1575216
Full,0038:0144,snow,mono_only,nonsky,8.858397483825684,498384
Full,0038:0144,snow,mono_only,textureless,2.231055498123169,10259
Full,0038:0144,snow,mono_only,textured,3.9075281620025635,2063341
E0,0039:0001,clean,fused,valid,0.05029015243053436,2073600
E0,0039:0001,clean,fused,sky,nan,0
E0,0039:0001,clean,fused,nonsky,0.05029015243053436,2073600
E0,0039:0001,clean,fused,textureless,0.027081100270152092,8455
E0,0039:0001,clean,fused,textured,0.05038515850901604,2065145
Full,0039:0001,clean,fused,valid,0.05169164761900902,2073600
Full,0039:0001,clean,fused,sky,nan,0
Full,0039:0001,clean,fused,nonsky,0.05169164761900902,2073600
Full,0039:0001,clean,fused,textureless,0.03901098668575287,8455
Full,0039:0001,clean,fused,textured,0.05174356698989868,2065145
Full,0039:0001,clean,stereo_only,valid,0.05166419595479965,2073600
Full,0039:0001,clean,stereo_only,sky,nan,0
Full,0039:0001,clean,stereo_only,nonsky,0.05166419595479965,2073600
Full,0039:0001,clean,stereo_only,textureless,0.0390576496720314,8455
Full,0039:0001,clean,stereo_only,textured,0.05171579122543335,2065145
Full,0039:0001,clean,mono_only,valid,6.551117897033691,2073600
Full,0039:0001,clean,mono_only,sky,nan,0
Full,0039:0001,clean,mono_only,nonsky,6.551117897033691,2073600
Full,0039:0001,clean,mono_only,textureless,13.17781925201416,8455
Full,0039:0001,clean,mono_only,textured,6.523984432220459,2065145
E0,0039:0001,fog,fused,valid,0.054888319224119186,2073600
E0,0039:0001,fog,fused,sky,nan,0
E0,0039:0001,fog,fused,nonsky,0.054888319224119186,2073600
E0,0039:0001,fog,fused,textureless,0.035734955221414566,391461
E0,0039:0001,fog,fused,textured,0.059345632791519165,1682139
Full,0039:0001,fog,fused,valid,0.055371589958667755,2073600
Full,0039:0001,fog,fused,sky,nan,0
Full,0039:0001,fog,fused,nonsky,0.055371589958667755,2073600
Full,0039:0001,fog,fused,textureless,0.03730448707938194,391461
Full,0039:0001,fog,fused,textured,0.05957609415054321,1682139
Full,0039:0001,fog,stereo_only,valid,0.05533749610185623,2073600
Full,0039:0001,fog,stereo_only,sky,nan,0
Full,0039:0001,fog,stereo_only,nonsky,0.05533749610185623,2073600
Full,0039:0001,fog,stereo_only,textureless,0.03730488941073418,391461
Full,0039:0001,fog,stereo_only,textured,0.05953399837017059,1682139
Full,0039:0001,fog,mono_only,valid,3.709693431854248,2073600
Full,0039:0001,fog,mono_only,sky,nan,0
Full,0039:0001,fog,mono_only,nonsky,3.709693431854248,2073600
Full,0039:0001,fog,mono_only,textureless,4.824474811553955,391461
Full,0039:0001,fog,mono_only,textured,3.450265645980835,1682139
E0,0039:0001,frost,fused,valid,2.5916242599487305,2073600
E0,0039:0001,frost,fused,sky,nan,0
E0,0039:0001,frost,fused,nonsky,2.5916242599487305,2073600
E0,0039:0001,frost,fused,textureless,0.14452289044857025,21011
E0,0039:0001,frost,fused,textured,2.616671562194824,2052589
Full,0039:0001,frost,fused,valid,0.11261295527219772,2073600
Full,0039:0001,frost,fused,sky,nan,0
Full,0039:0001,frost,fused,nonsky,0.11261295527219772,2073600
Full,0039:0001,frost,fused,textureless,0.10372189432382584,21011
Full,0039:0001,frost,fused,textured,0.11270395666360855,2052589
Full,0039:0001,frost,stereo_only,valid,0.11255549639463425,2073600
Full,0039:0001,frost,stereo_only,sky,nan,0
Full,0039:0001,frost,stereo_only,nonsky,0.11255549639463425,2073600
Full,0039:0001,frost,stereo_only,textureless,0.10422898083925247,21011
Full,0039:0001,frost,stereo_only,textured,0.11264071613550186,2052589
Full,0039:0001,frost,mono_only,valid,19.737632751464844,2073600
Full,0039:0001,frost,mono_only,sky,nan,0
Full,0039:0001,frost,mono_only,nonsky,19.737632751464844,2073600
Full,0039:0001,frost,mono_only,textureless,12.897751808166504,21011
Full,0039:0001,frost,mono_only,textured,19.807645797729492,2052589
E0,0039:0001,snow,fused,valid,1.366707682609558,2073600
E0,0039:0001,snow,fused,sky,nan,0
E0,0039:0001,snow,fused,nonsky,1.366707682609558,2073600
E0,0039:0001,snow,fused,textureless,0.42457932233810425,13
E0,0039:0001,snow,fused,textured,1.3667134046554565,2073587
Full,0039:0001,snow,fused,valid,0.1362256407737732,2073600
Full,0039:0001,snow,fused,sky,nan,0
Full,0039:0001,snow,fused,nonsky,0.1362256407737732,2073600
Full,0039:0001,snow,fused,textureless,0.14963942766189575,13
Full,0039:0001,snow,fused,textured,0.13622558116912842,2073587
Full,0039:0001,snow,stereo_only,valid,0.13595443964004517,2073600
Full,0039:0001,snow,stereo_only,sky,nan,0
Full,0039:0001,snow,stereo_only,nonsky,0.13595443964004517,2073600
Full,0039:0001,snow,stereo_only,textureless,0.14873798191547394,13
Full,0039:0001,snow,stereo_only,textured,0.135954350233078,2073587
Full,0039:0001,snow,mono_only,valid,9.966411590576172,2073600
Full,0039:0001,snow,mono_only,sky,nan,0
Full,0039:0001,snow,mono_only,nonsky,9.966411590576172,2073600
Full,0039:0001,snow,mono_only,textureless,1.4453125,13
Full,0039:0001,snow,mono_only,textured,9.966471672058105,2073587
E0,0039:0013,clean,fused,valid,0.04995454102754593,2073600
E0,0039:0013,clean,fused,sky,nan,0
E0,0039:0013,clean,fused,nonsky,0.04995454102754593,2073600
E0,0039:0013,clean,fused,textureless,0.028267908841371536,8591
E0,0039:0013,clean,fused,textured,0.050044771283864975,2065009
Full,0039:0013,clean,fused,valid,0.05047009885311127,2073600
Full,0039:0013,clean,fused,sky,nan,0
Full,0039:0013,clean,fused,nonsky,0.05047009885311127,2073600
Full,0039:0013,clean,fused,textureless,0.04270889237523079,8591
Full,0039:0013,clean,fused,textured,0.05050238221883774,2065009
Full,0039:0013,clean,stereo_only,valid,0.05045067518949509,2073600
Full,0039:0013,clean,stereo_only,sky,nan,0
Full,0039:0013,clean,stereo_only,nonsky,0.05045067518949509,2073600
Full,0039:0013,clean,stereo_only,textureless,0.04279392212629318,8591
Full,0039:0013,clean,stereo_only,textured,0.050482526421546936,2065009
Full,0039:0013,clean,mono_only,valid,6.597171306610107,2073600
Full,0039:0013,clean,mono_only,sky,nan,0
Full,0039:0013,clean,mono_only,nonsky,6.597171306610107,2073600
Full,0039:0013,clean,mono_only,textureless,17.443134307861328,8591
Full,0039:0013,clean,mono_only,textured,6.5520477294921875,2065009
E0,0039:0013,fog,fused,valid,0.05332629382610321,2073600
E0,0039:0013,fog,fused,sky,nan,0
E0,0039:0013,fog,fused,nonsky,0.05332629382610321,2073600
E0,0039:0013,fog,fused,textureless,0.024415403604507446,385013
E0,0039:0013,fog,fused,textured,0.05991819128394127,1688587
Full,0039:0013,fog,fused,valid,0.05419260263442993,2073600
Full,0039:0013,fog,fused,sky,nan,0
Full,0039:0013,fog,fused,nonsky,0.05419260263442993,2073600
Full,0039:0013,fog,fused,textureless,0.029912764206528664,385013
Full,0039:0013,fog,fused,textured,0.05972861871123314,1688587
Full,0039:0013,fog,stereo_only,valid,0.05417275056242943,2073600
Full,0039:0013,fog,stereo_only,sky,nan,0
Full,0039:0013,fog,stereo_only,nonsky,0.05417275056242943,2073600
Full,0039:0013,fog,stereo_only,textureless,0.029792333021759987,385013
Full,0039:0013,fog,stereo_only,textured,0.05973171815276146,1688587
Full,0039:0013,fog,mono_only,valid,3.7555012702941895,2073600
Full,0039:0013,fog,mono_only,sky,nan,0
Full,0039:0013,fog,mono_only,nonsky,3.7555012702941895,2073600
Full,0039:0013,fog,mono_only,textureless,3.1986331939697266,385013
Full,0039:0013,fog,mono_only,textured,3.8824708461761475,1688587
E0,0039:0013,frost,fused,valid,0.15307387709617615,2073600
E0,0039:0013,frost,fused,sky,nan,0
E0,0039:0013,frost,fused,nonsky,0.15307387709617615,2073600
E0,0039:0013,frost,fused,textureless,0.1982421875,10
E0,0039:0013,frost,fused,textured,0.15307363867759705,2073590
Full,0039:0013,frost,fused,valid,0.10718303173780441,2073600
Full,0039:0013,frost,fused,sky,nan,0
Full,0039:0013,frost,fused,nonsky,0.10718303173780441,2073600
Full,0039:0013,frost,fused,textureless,0.0044921874068677425,10
Full,0039:0013,frost,fused,textured,0.107183538377285,2073590
Full,0039:0013,frost,stereo_only,valid,0.10741456598043442,2073600
Full,0039:0013,frost,stereo_only,sky,nan,0
Full,0039:0013,frost,stereo_only,nonsky,0.10741456598043442,2073600
Full,0039:0013,frost,stereo_only,textureless,0.006640625186264515,10
Full,0039:0013,frost,stereo_only,textured,0.10741511732339859,2073590
Full,0039:0013,frost,mono_only,valid,3.039077043533325,2073600
Full,0039:0013,frost,mono_only,sky,nan,0
Full,0039:0013,frost,mono_only,nonsky,3.039077043533325,2073600
Full,0039:0013,frost,mono_only,textureless,3.700000047683716,10
Full,0039:0013,frost,mono_only,textured,3.0390734672546387,2073590
E0,0039:0013,snow,fused,valid,14.237751960754395,2073600
E0,0039:0013,snow,fused,sky,nan,0
E0,0039:0013,snow,fused,nonsky,14.237751960754395,2073600
E0,0039:0013,snow,fused,textureless,0.2692708373069763,15
E0,0039:0013,snow,fused,textured,14.237852096557617,2073585
Full,0039:0013,snow,fused,valid,0.16970238089561462,2073600
Full,0039:0013,snow,fused,sky,nan,0
Full,0039:0013,snow,fused,nonsky,0.16970238089561462,2073600
Full,0039:0013,snow,fused,textureless,0.13333334028720856,15
Full,0039:0013,snow,fused,textured,0.1697027087211609,2073585
Full,0039:0013,snow,stereo_only,valid,0.16932949423789978,2073600
Full,0039:0013,snow,stereo_only,sky,nan,0
Full,0039:0013,snow,stereo_only,nonsky,0.16932949423789978,2073600
Full,0039:0013,snow,stereo_only,textureless,0.13385416567325592,15
Full,0039:0013,snow,stereo_only,textured,0.16932974755764008,2073585
Full,0039:0013,snow,mono_only,valid,16.644725799560547,2073600
Full,0039:0013,snow,mono_only,sky,nan,0
Full,0039:0013,snow,mono_only,nonsky,16.644725799560547,2073600
Full,0039:0013,snow,mono_only,textureless,1.2138020992279053,15
Full,0039:0013,snow,mono_only,textured,16.64483642578125,2073585
E0,0039:0026,clean,fused,valid,0.05015023797750473,2073600
E0,0039:0026,clean,fused,sky,nan,0
E0,0039:0026,clean,fused,nonsky,0.05015023797750473,2073600
E0,0039:0026,clean,fused,textureless,0.02333013154566288,8386
E0,0039:0026,clean,fused,textured,0.05025915056467056,2065214
Full,0039:0026,clean,fused,valid,0.05042516067624092,2073600
Full,0039:0026,clean,fused,sky,nan,0
Full,0039:0026,clean,fused,nonsky,0.05042516067624092,2073600
Full,0039:0026,clean,fused,textureless,0.029238881543278694,8386
Full,0039:0026,clean,fused,textured,0.0505111888051033,2065214
Full,0039:0026,clean,stereo_only,valid,0.050417203456163406,2073600
Full,0039:0026,clean,stereo_only,sky,nan,0
Full,0039:0026,clean,stereo_only,nonsky,0.050417203456163406,2073600
Full,0039:0026,clean,stereo_only,textureless,0.029286161065101624,8386
Full,0039:0026,clean,stereo_only,textured,0.05050300434231758,2065214
Full,0039:0026,clean,mono_only,valid,6.013820171356201,2073600
Full,0039:0026,clean,mono_only,sky,nan,0
Full,0039:0026,clean,mono_only,nonsky,6.013820171356201,2073600
Full,0039:0026,clean,mono_only,textureless,11.203228950500488,8386
Full,0039:0026,clean,mono_only,textured,5.992746353149414,2065214
E0,0039:0026,fog,fused,valid,0.0525544099509716,2073600
E0,0039:0026,fog,fused,sky,nan,0
E0,0039:0026,fog,fused,nonsky,0.0525544099509716,2073600
E0,0039:0026,fog,fused,textureless,0.02394929714500904,382819
E0,0039:0026,fog,fused,textured,0.05903104692697525,1690781
Full,0039:0026,fog,fused,valid,0.05395354703068733,2073600
Full,0039:0026,fog,fused,sky,nan,0
Full,0039:0026,fog,fused,nonsky,0.05395354703068733,2073600
Full,0039:0026,fog,fused,textureless,0.035305220633745193,382819
Full,0039:0026,fog,fused,textured,0.05817577615380287,1690781
Full,0039:0026,fog,stereo_only,valid,0.0538916178047657,2073600
Full,0039:0026,fog,stereo_only,sky,nan,0
Full,0039:0026,fog,stereo_only,nonsky,0.0538916178047657,2073600
Full,0039:0026,fog,stereo_only,textureless,0.03504570946097374,382819
Full,0039:0026,fog,stereo_only,textured,0.05815863981842995,1690781
Full,0039:0026,fog,mono_only,valid,3.2268013954162598,2073600
Full,0039:0026,fog,mono_only,sky,nan,0
Full,0039:0026,fog,mono_only,nonsky,3.2268013954162598,2073600
Full,0039:0026,fog,mono_only,textureless,2.6872267723083496,382819
Full,0039:0026,fog,mono_only,textured,3.348970413208008,1690781
E0,0039:0026,frost,fused,valid,1.397294282913208,2073600
E0,0039:0026,frost,fused,sky,nan,0
E0,0039:0026,frost,fused,nonsky,1.397294282913208,2073600
E0,0039:0026,frost,fused,textureless,nan,0
E0,0039:0026,frost,fused,textured,1.397294282913208,2073600
Full,0039:0026,frost,fused,valid,0.12016367167234421,2073600
Full,0039:0026,frost,fused,sky,nan,0
Full,0039:0026,frost,fused,nonsky,0.12016367167234421,2073600
Full,0039:0026,frost,fused,textureless,nan,0
Full,0039:0026,frost,fused,textured,0.12016367167234421,2073600
Full,0039:0026,frost,stereo_only,valid,0.12018539756536484,2073600
Full,0039:0026,frost,stereo_only,sky,nan,0
Full,0039:0026,frost,stereo_only,nonsky,0.12018539756536484,2073600
Full,0039:0026,frost,stereo_only,textureless,nan,0
Full,0039:0026,frost,stereo_only,textured,0.12018539756536484,2073600
Full,0039:0026,frost,mono_only,valid,37.756568908691406,2073600
Full,0039:0026,frost,mono_only,sky,nan,0
Full,0039:0026,frost,mono_only,nonsky,37.756568908691406,2073600
Full,0039:0026,frost,mono_only,textureless,nan,0
Full,0039:0026,frost,mono_only,textured,37.756568908691406,2073600
E0,0039:0026,snow,fused,valid,3.1471848487854004,2073600
E0,0039:0026,snow,fused,sky,nan,0
E0,0039:0026,snow,fused,nonsky,3.1471848487854004,2073600
E0,0039:0026,snow,fused,textureless,0.2672525942325592,12
E0,0039:0026,snow,fused,textured,3.1471962928771973,2073588
Full,0039:0026,snow,fused,valid,0.17907673120498657,2073600
Full,0039:0026,snow,fused,sky,nan,0
Full,0039:0026,snow,fused,nonsky,0.17907673120498657,2073600
Full,0039:0026,snow,fused,textureless,0.0403645820915699,12
Full,0039:0026,snow,fused,textured,0.17907747626304626,2073588
Full,0039:0026,snow,stereo_only,valid,0.17872312664985657,2073600
Full,0039:0026,snow,stereo_only,sky,nan,0
Full,0039:0026,snow,stereo_only,nonsky,0.17872312664985657,2073600
Full,0039:0026,snow,stereo_only,textureless,0.0406901054084301,12
Full,0039:0026,snow,stereo_only,textured,0.17872394621372223,2073588
Full,0039:0026,snow,mono_only,valid,14.389430046081543,2073600
Full,0039:0026,snow,mono_only,sky,nan,0
Full,0039:0026,snow,mono_only,nonsky,14.389430046081543,2073600
Full,0039:0026,snow,mono_only,textureless,1.1396484375,12
Full,0039:0026,snow,mono_only,textured,14.389501571655273,2073588
E0,0039:0038,clean,fused,valid,0.04959462955594063,2073600
E0,0039:0038,clean,fused,sky,nan,0
E0,0039:0038,clean,fused,nonsky,0.04959462955594063,2073600
E0,0039:0038,clean,fused,textureless,0.019449200481176376,8641
E0,0039:0038,clean,fused,textured,0.04972078278660774,2064959
Full,0039:0038,clean,fused,valid,0.05013297125697136,2073600
Full,0039:0038,clean,fused,sky,nan,0
Full,0039:0038,clean,fused,nonsky,0.05013297125697136,2073600
Full,0039:0038,clean,fused,textureless,0.023371951654553413,8641
Full,0039:0038,clean,fused,textured,0.05024497210979462,2064959
Full,0039:0038,clean,stereo_only,valid,0.05013743415474892,2073600
Full,0039:0038,clean,stereo_only,sky,nan,0
Full,0039:0038,clean,stereo_only,nonsky,0.05013743415474892,2073600
Full,0039:0038,clean,stereo_only,textureless,0.023391390219330788,8641
Full,0039:0038,clean,stereo_only,textured,0.050249360501766205,2064959
Full,0039:0038,clean,mono_only,valid,6.179636001586914,2073600
Full,0039:0038,clean,mono_only,sky,nan,0
Full,0039:0038,clean,mono_only,nonsky,6.179636001586914,2073600
Full,0039:0038,clean,mono_only,textureless,11.321520805358887,8641
Full,0039:0038,clean,mono_only,textured,6.158116817474365,2064959
E0,0039:0038,fog,fused,valid,0.05180645361542702,2073600
E0,0039:0038,fog,fused,sky,nan,0
E0,0039:0038,fog,fused,nonsky,0.05180645361542702,2073600
E0,0039:0038,fog,fused,textureless,0.024811020120978355,380186
E0,0039:0038,fog,fused,textured,0.05786720663309097,1693414
Full,0039:0038,fog,fused,valid,0.05287390202283859,2073600
Full,0039:0038,fog,fused,sky,nan,0
Full,0039:0038,fog,fused,nonsky,0.05287390202283859,2073600
Full,0039:0038,fog,fused,textureless,0.02960388734936714,380186
Full,0039:0038,fog,fused,textured,0.0580982007086277,1693414
Full,0039:0038,fog,stereo_only,valid,0.05285384878516197,2073600
Full,0039:0038,fog,stereo_only,sky,nan,0
Full,0039:0038,fog,stereo_only,nonsky,0.05285384878516197,2073600
Full,0039:0038,fog,stereo_only,textureless,0.02946828305721283,380186
Full,0039:0038,fog,stereo_only,textured,0.058104146271944046,1693414
Full,0039:0038,fog,mono_only,valid,3.6193299293518066,2073600
Full,0039:0038,fog,mono_only,sky,nan,0
Full,0039:0038,fog,mono_only,nonsky,3.6193299293518066,2073600
Full,0039:0038,fog,mono_only,textureless,3.2585537433624268,380186
Full,0039:0038,fog,mono_only,textured,3.700329303741455,1693414
E0,0039:0038,frost,fused,valid,62.2611198425293,2073600
E0,0039:0038,frost,fused,sky,nan,0
E0,0039:0038,frost,fused,nonsky,62.2611198425293,2073600
E0,0039:0038,frost,fused,textureless,268.79803466796875,10
E0,0039:0038,frost,fused,textured,62.26012420654297,2073590
Full,0039:0038,frost,fused,valid,5.172642230987549,2073600
Full,0039:0038,frost,fused,sky,nan,0
Full,0039:0038,frost,fused,nonsky,5.172642230987549,2073600
Full,0039:0038,frost,fused,textureless,50.654296875,10
Full,0039:0038,frost,fused,textured,5.172425270080566,2073590
Full,0039:0038,frost,stereo_only,valid,5.172450542449951,2073600
Full,0039:0038,frost,stereo_only,sky,nan,0
Full,0039:0038,frost,stereo_only,nonsky,5.172450542449951,2073600
Full,0039:0038,frost,stereo_only,textureless,50.654296875,10
Full,0039:0038,frost,stereo_only,textured,5.172225475311279,2073590
Full,0039:0038,frost,mono_only,valid,32.189823150634766,2073600
Full,0039:0038,frost,mono_only,sky,nan,0
Full,0039:0038,frost,mono_only,nonsky,32.189823150634766,2073600
Full,0039:0038,frost,mono_only,textureless,35.773048400878906,10
Full,0039:0038,frost,mono_only,textured,32.18981170654297,2073590
E0,0039:0038,snow,fused,valid,13.028284072875977,2073600
E0,0039:0038,snow,fused,sky,nan,0
E0,0039:0038,snow,fused,nonsky,13.028284072875977,2073600
E0,0039:0038,snow,fused,textureless,3.021848440170288,59
E0,0039:0038,snow,fused,textured,13.028565406799316,2073541
Full,0039:0038,snow,fused,valid,0.16058924794197083,2073600
Full,0039:0038,snow,fused,sky,nan,0
Full,0039:0038,snow,fused,nonsky,0.16058924794197083,2073600
Full,0039:0038,snow,fused,textureless,0.5176112055778503,59
Full,0039:0038,snow,fused,textured,0.16057908535003662,2073541
Full,0039:0038,snow,stereo_only,valid,0.16023631393909454,2073600
Full,0039:0038,snow,stereo_only,sky,nan,0
Full,0039:0038,snow,stereo_only,nonsky,0.16023631393909454,2073600
Full,0039:0038,snow,stereo_only,textureless,0.5159560441970825,59
Full,0039:0038,snow,stereo_only,textured,0.16022621095180511,2073541
Full,0039:0038,snow,mono_only,valid,22.632549285888672,2073600
Full,0039:0038,snow,mono_only,sky,nan,0
Full,0039:0038,snow,mono_only,nonsky,22.632549285888672,2073600
Full,0039:0038,snow,mono_only,textureless,44.53383255004883,59
Full,0039:0038,snow,mono_only,textured,22.631940841674805,2073541
E0,0039:0051,clean,fused,valid,0.04847598448395729,2073599
