model,frame,condition,prediction,region,abs_err_vs_gt,n
Full,0038:0024,clean,fused,sky,0.7796103954315186,1016468
Full,0038:0024,clean,fused,nonsky,0.32380056381225586,1057132
Full,0038:0024,clean,fused,textureless,0.5291591882705688,339241
Full,0038:0024,clean,fused,textured,0.5507721304893494,1734359
Full,0038:0024,clean,stereo_only,valid,0.5472319722175598,2073600
Full,0038:0024,clean,stereo_only,sky,0.77956622838974,1016468
Full,0038:0024,clean,stereo_only,nonsky,0.32383468747138977,1057132
Full,0038:0024,clean,stereo_only,textureless,0.5291963219642639,339241
Full,0038:0024,clean,stereo_only,textured,0.5507599711418152,1734359
Full,0038:0024,clean,mono_only,valid,11.389700889587402,2073600
Full,0038:0024,clean,mono_only,sky,6.825655460357666,1016468
Full,0038:0024,clean,mono_only,nonsky,15.778189659118652,1057132
Full,0038:0024,clean,mono_only,textureless,9.944151878356934,339241
Full,0038:0024,clean,mono_only,textured,11.672451972961426,1734359
E0,0038:0024,fog,fused,valid,77.53044891357422,2073600
E0,0038:0024,fog,fused,sky,148.41456604003906,1016468
E0,0038:0024,fog,fused,nonsky,9.37304401397705,1057132
E0,0038:0024,fog,fused,textureless,123.55313873291016,1297695
E0,0038:0024,fog,fused,textured,0.5578812956809998,775905
Full,0038:0024,fog,fused,valid,7.868988037109375,2073600
Full,0038:0024,fog,fused,sky,15.571694374084473,1016468
Full,0038:0024,fog,fused,nonsky,0.4625709652900696,1057132
Full,0038:0024,fog,fused,textureless,12.238765716552734,1297695
Full,0038:0024,fog,fused,textured,0.5605631470680237,775905
Full,0038:0024,fog,stereo_only,valid,7.869123935699463,2073600
Full,0038:0024,fog,stereo_only,sky,15.571964263916016,1016468
Full,0038:0024,fog,stereo_only,nonsky,0.46258774399757385,1057132
Full,0038:0024,fog,stereo_only,textureless,12.23884105682373,1297695
Full,0038:0024,fog,stereo_only,textured,0.5608128309249878,775905
Full,0038:0024,fog,mono_only,valid,15.551335334777832,2073600
Full,0038:0024,fog,mono_only,sky,17.391263961791992,1016468
Full,0038:0024,fog,mono_only,nonsky,13.782188415527344,1057132
Full,0038:0024,fog,mono_only,textureless,17.094329833984375,1297695
Full,0038:0024,fog,mono_only,textured,12.970690727233887,775905
E0,0038:0024,frost,fused,valid,1.043395757675171,2073600
E0,0038:0024,frost,fused,sky,1.6665621995925903,1016468
E0,0038:0024,frost,fused,nonsky,0.44420090317726135,1057132
E0,0038:0024,frost,fused,textureless,0.45206013321876526,131412
E0,0038:0024,frost,fused,textured,1.0834068059921265,1942188
Full,0038:0024,frost,fused,valid,0.6357754468917847,2073600
Full,0038:0024,frost,fused,sky,0.810600996017456,1016468
Full,0038:0024,frost,fused,nonsky,0.4676743745803833,1057132
Full,0038:0024,frost,fused,textureless,0.1713489294052124,131412
Full,0038:0024,frost,fused,textured,0.6671989560127258,1942188
Full,0038:0024,frost,stereo_only,valid,0.6351506114006042,2073600
Full,0038:0024,frost,stereo_only,sky,0.8093031644821167,1016468
Full,0038:0024,frost,stereo_only,nonsky,0.4676970839500427,1057132
Full,0038:0024,frost,stereo_only,textureless,0.1707804948091507,131412
Full,0038:0024,frost,stereo_only,textured,0.666570782661438,1942188
Full,0038:0024,frost,mono_only,valid,13.968505859375,2073600
Full,0038:0024,frost,mono_only,sky,13.241031646728516,1016468
Full,0038:0024,frost,mono_only,nonsky,14.667994499206543,1057132
Full,0038:0024,frost,mono_only,textureless,4.316657543182373,131412
Full,0038:0024,frost,mono_only,textured,14.621572494506836,1942188
E0,0038:0024,snow,fused,valid,3.4320549964904785,2073600
E0,0038:0024,snow,fused,sky,6.201266765594482,1016468
E0,0038:0024,snow,fused,nonsky,0.7693676948547363,1057132
E0,0038:0024,snow,fused,textureless,8.822327613830566,5699
E0,0038:0024,snow,fused,textured,3.417201280593872,2067901
Full,0038:0024,snow,fused,valid,0.6632455587387085,2073600
Full,0038:0024,snow,fused,sky,0.8379561901092529,1016468
Full,0038:0024,snow,fused,nonsky,0.49525490403175354,1057132
